Electricity_Access,Internet_Usage,GDP_Per_Capita,School_Enrollment,Life_Expectancy,Urban_Population,Country Code,Short Name,Region
33.74166666666667,27.188333333333336,1113.6378512995975,57.0002868465085,51.61533333333333,27.13466666666667,LSO,Lesotho,Sub-Saharan Africa
99.95,74.01666666666667,16801.766653584953,104.7370688120525,74.55243902439025,67.36641666666667,LTU,Lithuania,Europe & Central Asia
100.0,95.35833333333333,115848.19499379768,104.49307950337725,81.98252032520325,90.23791666666665,LUX,Luxembourg,Europe & Central Asia
99.96666666666665,79.26666666666668,15146.40785771538,108.84347152709957,74.24756097560976,68.055,LVA,Latvia,Europe & Central Asia
100.0,75.08333333333333,69666.38605889255,95.18691253662111,83.20426829268294,100.0,MAC,"Macao SAR, China",East Asia & Pacific
100.0,53.275000000000006,20567.695959212593,96.54323514302565,79.59991666666666,68.531,MAF,St. Martin (French part),Latin America & Caribbean
97.95833333333333,63.71666666666667,3333.0578002929706,74.97115087509154,72.73633333333333,61.06816666666666,MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan"
100.0,90.19090909090909,182063.53104772963,154.156982421875,85.42633333333333,100.0,MCO,Monaco,Europe & Central Asia
99.78333333333335,52.63333333333333,3524.6705749546613,99.27244957236465,70.07658333333333,42.62916666666667,MDA,Moldova,Europe & Central Asia
23.883333333333336,5.8425,483.02879103342053,36.31262259398264,63.11075,35.543416666666666,MDG,Madagascar,Sub-Saharan Africa
99.69166666666668,56.775000000000006,9172.54174978912,73.59366989135745,78.34133333333332,38.751749999999994,MDV,Maldives,South Asia
99.38333333333333,53.275000000000006,10176.97651728053,98.1895421346028,73.5465,79.42491666666665,MEX,Mexico,Latin America & Caribbean
93.40833333333332,30.183333333333334,4333.358072403527,104.67206726074218,65.26216666666669,75.95925,MHL,Marshall Islands,East Asia & Pacific
99.83333333333333,70.02499999999999,5948.451962249989,84.0914405822754,75.29166666666667,57.66141666666666,MKD,North Macedonia,Europe & Central Asia
38.49999999999999,14.183333333333332,922.8612073890871,40.05819129943848,57.86283333333333,40.367916666666666,MLI,Mali,Sub-Saharan Africa
100.0,76.51666666666667,28265.930149961743,99.63944816589354,81.8869918699187,94.44449999999999,MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan"
60.824999999999996,19.1775,1253.7348774471313,64.34052810668946,65.24091666666666,30.051249999999996,MMR,Myanmar,East Asia & Pacific
99.47500000000001,64.01666666666667,7583.488892561352,92.66095123291015,76.27967479674798,65.97708333333333,MNE,Montenegro,Europe & Central Asia
89.2,32.291666666666664,3936.281585909413,93.6436494988512,70.35402439024392,68.26166666666667,MNG,Mongolia,East Asia & Pacific
100.0,43.35000000000001,19563.378148856067,91.34852915102624,77.63741666666667,91.40766666666666,MNP,Northern Mariana Islands,East Asia & Pacific
25.40833333333333,8.389166666666666,559.6358352605291,32.08698533432491,58.70458333333334,34.687416666666664,MOZ,Mozambique,Sub-Saharan Africa
40.62499999999999,16.233333333333334,1755.5675829962586,30.35198835893111,66.52866666666667,51.45866666666668,MRT,Mauritania,Sub-Saharan Africa
